Problem Number,Answer,Time Taken
1,233168,0.0359978675842285
2,4613732,0.0300114154815673
3,6857,0.0519986152648925
4,906609,0.0730063915252685
5,232792560,0.0300009250640869
6,25164150,0.0290009975433349
7,104743,0.0571177005767822
8,23514624000,0.0300009250640869
9,31875000,0.0349977016448974
10,142913828922,0.0850014686584472
11,70600674,0.0439996719360351
12,76576500,0.3403282165527344
13,5537376230,0.0312268733978271
14,837799,0.287153959274292
15,137846528820,0.0299992561340332
16,1366,0.0289990901947021
17,21124,0.0290009975433349
18,1074,0.0290005207061767
19,171,0.0619997978210449
20,648,0.0300002098083496
21,31626,0.0381958484649658
22,871198282,0.0370020866394043
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,37076114526,0.0299990177154541
102,228,0.0490000247955322
103,20313839404245,0.0299994945526123
104,329468,0.3806850910186767
105,73702,0.05999755859375
106,21384,0.0369982719421386
107,259679,0.0472035408020019
108,180180,0.0380055904388427
109,38182,0.0370001792907714
110,9350130049860600,0.0759971141815185
111,612407567715,0.1046745777130127
112,1587000,0.7290003299713135
113,51161058134250,0.037999153137207
114,16475640049,0.0290009975433349
115,168,0.0299999713897705
116,20492570929,0.029998779296875
117,100808458960497,0.037447452545166
118,44680,7.257876634597778
119,248155780267521,0.0420002937316894
120,333082500,0.0300009250640869
121,,
122,,
123,21035,0.05900239944458
124,21417,0.1319973468780517
125,2906969179,0.0569968223571777
126,18522,1.5123255252838137
127,,
128,14516824220,4.895747184753418
129,1000023,0.3256814479827881
130,149253,0.1000001430511474
131,173,0.0940015316009521
132,843296,0.0821099281311035
133,453647705,0.1881365776062011
134,"85712
18613426663617118",0.0999939441680908
135,4989,0.379225492477417
136,2544559,46.995525598526
137,1120149658760,0.0310039520263671
138,1118049290473932,0.0310003757476806
139,10057761,6.178764820098877
140,5673835352990,0.1046767234802246
141,878454337159,2.3421359062194824
142,1006193,0.077000617980957
143,,
144,354,0.2332324981689453
145,608720,0.2321827411651611
146,,
147,846910284,0.3048155307769775
148,2129970655314432,0.0330002307891845
149,52852124,0.3079986572265625
150,-271248680,1.4160535335540771
151,0.464399,0.0373601913452148
152,301,20.151870012283325
153,17971254122360635,3.984500408172608
154,479742450,6.904260635375977
155,,
156,21295121502550,0.1951775550842285
157,53490,0.0475857257843017
158,409511334375,0.0322399139404296
159,14489159,2.8471908569335938
160,16576,0.0449359416961669
161,20574308184277971,2.665482997894287
162,3D58725572C62302,0.0581288337707519
163,343047,0.377927303314209
164,,
165,2868868,28.848430395126343
166,7130034,0.2515833377838135
167,3916160068885,29.70701718330384
168,59206,0.0746183395385742
169,178653872807,0.1303837299346923
170,9857164023,20.742770433425903
171,142989277,33.096574783325195
172,227485267000992000,0.0421977043151855
173,1572729,1.172835350036621
174,209566,1.1837279796600342
175,"1,13717420,8",14.0601487159729
176,96818198400000,0.0456838607788085
177,,
178,126461847755,0.0396032333374023
179,986262,40.20969367027283
180,285196020571078987,0.6888208389282227
181,83735848679360680,0.1152725219726562
182,399788195976,22.75644016265869
183,48861552,0.0600805282592773
184,1725323624056,0.0547318458557128
185,4640261571849533,22.83632183074951
186,2325629,2.1715214252471924
187,17427258,1.3035435676574707
188,95962097,0.0391187667846679
189,10834893628237824,0.1575889587402343
190,371048281,0.0999488830566406
191,1918080160,0.0271394252777099
192,57060635927998347,23.78030824661255
193,684465067343069,2.4598212242126465
194,61190912,0.0446066856384277
195,75085391,6.4033637046813965
196,322303240771079935,180.1183581352234
197,1.710637717,0.4801251888275146
198,52374425,0.2349936962127685
199,0.00396087,0.2043540477752685
200,229161792008,28.967606782913208
201,,
202,1209002624,0.0605425834655761
203,34029210557338,0.049955129623413
204,2944730,0.6418306827545166
205,0.5731441,0.1341993808746338
206,,
207,44043947822,0.0699388980865478
208,331951449665644800,5.403880834579468
209,15964587728784,0.0364205837249755
210,1598174770174689458,10.9811589717865
211,1922364685,39.24183368682861
212,328968937309,11.030282735824583
213,330.721154,0.7272121906280518
214,1677366278943,5.392578363418579
215,806844323190414,1.6817905902862549
216,5437849,22.20490336418152
217,6273134,0.0799994468688964
218,0,1.829819917678833
219,64564225042,0.031851053237915
220,"139776,963904",0.0452837944030761
221,,
222,159093,0.0399978160858154
223,,
224,4137330,50.0146369934082
225,,
226,0.11316017,0.1625733375549316
227,3780.618622,0.7105844020843506
228,86226,0.1230919361114502
229,11325263,32.03642511367798
230,850481152593119296,0.0384790897369384
231,7526965179680,0.8894209861755371
232,0.83648556,1.5065374374389648
233,271204031455541309,9.040213346481323
234,1259187438574927161,0.0930955410003662
235,1.002322108633,0.0305581092834472
236,123/59,40.9575297832489
237,15836928,0.0380859375
238,9922545104535661,33.456215381622314
239,0.001887854841,0.0741903781890869
